tefreqs:, 1, 0, 0, 0, 0, 0, 0.658545
tefreqs:, 2, 0, 0.0294118, 0, 0.0339618, 0.0213385, 0.65488
tefreqs:, 3, 0, 0.0588235, 0, 0.0679236, 0.0426722, 0.645983
tefreqs:, 4, 0, 0.0882353, 0, 0.101885, 0.0639958, 0.634295
tefreqs:, 5, 0, 0.117647, 0, 0.135847, 0.0853037, 0.620707
tefreqs:, 6, 0, 0.147059, 0, 0.169809, 0.106589, 0.605503
tefreqs:, 7, 0, 0.176471, 0, 0.203771, 0.127844, 0.588905
tefreqs:, 8, 0, 0.205882, 0, 0.237732, 0.149057, 0.571192
tefreqs:, 9, 0, 0.235294, 0, 0.271694, 0.170214, 0.552652
tefreqs:, 10, 0, 0.264706, 0, 0.305656, 0.191296, 0.533537
tefreqs:, 11, 0, 0.294118, 0, 0.339618, 0.212271, 0.514048
tefreqs:, 12, 0, 0.323529, 0, 0.37358, 0.233093, 0.494355
tefreqs:, 13, 0, 0.352941, 0, 0.407541, 0.253681, 0.474622
tefreqs:, 14, 0, 0.382353, 0, 0.441503, 0.273884, 0.455058
tefreqs:, 15, 0, 0.411765, 0, 0.475465, 0.293395, 0.436011
tefreqs:, 16, 0, 0.441176, 0, 0.509427, 0.311478, 0.418243
tefreqs:, 17, 0, 0.470588, 0, 0.543388, 0.326139, 0.403765
tefreqs:, 18, 0, 0.5, 0, 0.57735, 0.332449, 0.397514
tefreqs:, 19, -0.0196078, 0.490196, 0, 0.577683, 0.332691, 0.397671
tefreqs:, 20, -0.0392157, 0.480392, 0, 0.578681, 0.333413, 0.398142
tefreqs:, 21, -0.0588235, 0.470588, 0, 0.580339, 0.334611, 0.398926
tefreqs:, 22, -0.0784314, 0.460784, 0, 0.582653, 0.336276, 0.40002
tefreqs:, 23, -0.0980392, 0.45098, 0, 0.585615, 0.338396, 0.401422
tefreqs:, 24, -0.117647, 0.441176, 0, 0.589215, 0.340955, 0.403129
tefreqs:, 25, -0.137255, 0.431373, 0, 0.593441, 0.343932, 0.405137
tefreqs:, 26, -0.156863, 0.421569, 0, 0.59828, 0.347301, 0.40744
tefreqs:, 27, -0.176471, 0.411765, 0, 0.603718, 0.351029, 0.410033
